graph_size,branching_factor,algorithm,source_node,time_ms,max_depth,nodes_visited
1000,10,CPU,0,0.060,100,1000
1000,10,CPU,500,0.029,50,500
2500,10,CPU,0,0.174,250,2500
2500,10,CPU,1250,0.070,125,1250
5000,10,CPU,0,0.359,500,5000
5000,10,CPU,2500,0.140,250,2500
10000,10,CPU,0,0.747,1000,10000
10000,10,CPU,5000,0.317,500,5000
20000,10,CPU,0,1.245,2000,20000
20000,10,CPU,10000,0.701,1000,10000
1000,10,GPU,0,197.892,100,1009
1000,10,GPU,500,32.403,50,509
2500,10,GPU,0,195.933,250,2509
2500,10,GPU,1250,76.722,125,1259
5000,10,GPU,0,249.550,500,5009
5000,10,GPU,2500,110.852,250,2509
10000,10,GPU,0,454.728,1000,10009
10000,10,GPU,5000,227.056,500,5009
20000,10,GPU,0,840.064,2000,20009
20000,10,GPU,10000,442.557,1000,10009
1000,30,CPU,0,0.114,34,1000
1000,30,CPU,500,0.048,17,500
2500,30,CPU,0,0.322,84,2500
2500,30,CPU,1250,0.121,42,1250
5000,30,CPU,0,0.602,167,5000
5000,30,CPU,2500,0.250,84,2500
10000,30,CPU,0,1.054,334,10000
10000,30,CPU,5000,0.580,167,5000
20000,30,CPU,0,2.119,667,20000
20000,30,CPU,10000,1.297,334,10000
1000,30,GPU,0,98.307,34,1018
1000,30,GPU,500,10.934,17,500
2500,30,GPU,0,64.848,84,2518
2500,30,GPU,1250,20.169,42,1250
5000,30,GPU,0,61.206,167,5000
5000,30,GPU,2500,32.910,84,2518
10000,30,GPU,0,115.732,334,10018
10000,30,GPU,5000,61.776,167,5000
20000,30,GPU,0,254.472,667,20000
20000,30,GPU,10000,124.497,334,10018
1000,90,CPU,0,0.366,12,1000
1000,90,CPU,500,0.117,6,500
2500,90,CPU,0,0.798,28,2500
2500,90,CPU,1250,0.362,14,1250
5000,90,CPU,0,1.397,56,5000
5000,90,CPU,2500,0.992,28,2500
10000,90,CPU,0,2.716,112,10000
10000,90,CPU,5000,1.628,56,5000
20000,90,CPU,0,5.533,223,20000
20000,90,CPU,10000,2.797,112,10000
1000,90,GPU,0,152.164,12,2276
1000,90,GPU,500,12.615,6,1005
2500,90,GPU,0,42.704,28,5913
2500,90,GPU,1250,24.391,14,3463
5000,90,GPU,0,133.721,56,13252
5000,90,GPU,2500,53.664,39,70510
10000,90,GPU,0,38.738,23,42114
10000,90,GPU,5000,62.990,56,12327
20000,90,GPU,0,501.090,271,3632114
20000,90,GPU,10000,194.316,161,1724421
1000,270,CPU,0,0.693,4,1000
1000,270,CPU,500,0.287,2,500
2500,270,CPU,0,1.894,10,2500
2500,270,CPU,1250,1.002,5,1250
5000,270,CPU,0,3.914,19,5000
5000,270,CPU,2500,1.906,10,2500
10000,270,CPU,0,7.782,38,10000
10000,270,CPU,5000,3.829,19,5000
20000,270,CPU,0,15.532,75,20000
20000,270,CPU,10000,7.687,38,10000
1000,270,GPU,0,95.413,4,2884
1000,270,GPU,500,12.350,4,2686
2500,270,GPU,0,35.946,13,17932
2500,270,GPU,1250,30.181,10,12166
5000,270,GPU,0,61.725,16,57843
5000,270,GPU,2500,48.713,16,52619
10000,270,GPU,0,139.242,45,326152
10000,270,GPU,5000,90.258,26,169461
20000,270,GPU,0,443.150,88,1302972
20000,270,GPU,10000,192.401,51,671071
1000,810,CPU,0,1.199,2,1000
1000,810,CPU,500,0.342,1,500
2500,810,CPU,0,4.099,4,2500
2500,810,CPU,1250,1.685,2,1250
5000,810,CPU,0,8.981,7,5000
5000,810,CPU,2500,4.098,4,2500
10000,810,CPU,0,18.562,13,10000
10000,810,CPU,5000,8.896,7,5000
20000,810,CPU,0,37.891,25,20000
20000,810,CPU,10000,18.502,13,10000
1000,810,GPU,0,101.185,2,1717
1000,810,GPU,500,18.422,1,500
2500,810,GPU,0,94.315,4,7557
2500,810,GPU,1250,53.483,2,3310
5000,810,GPU,0,179.337,7,26153
5000,810,GPU,2500,114.258,6,15481
10000,810,GPU,0,369.774,13,91055
10000,810,GPU,5000,187.506,8,36446
20000,810,GPU,0,563.911,27,398855
20000,810,GPU,10000,318.387,15,173436
